step,exact,kimi,srd,srd_f
516,4.49002,4.49126,4.49085,4.49253
517,4.47911,4.47962,4.47956,4.48039
518,4.48745,4.48635,4.48797,4.48555
519,4.45799,4.45853,4.45895,4.45632
520,4.45163,4.45388,4.45302,4.4487
521,4.49548,4.49311,4.49379,4.49514
522,4.47569,4.47377,4.47331,4.47507
523,4.49789,4.49605,4.49902,4.49935
524,4.46843,4.4693,4.46707,4.46955
525,4.47892,4.47839,4.47906,4.48065
526,4.50247,4.50396,4.50287,4.50436
527,4.48536,4.48358,4.48301,4.4854
528,4.46808,4.46774,4.46711,4.46969
529,4.47763,4.4785,4.47632,4.47877
530,4.48355,4.48545,4.48342,4.48275
531,4.48939,4.49182,4.48928,4.4894
532,4.49304,4.4899,4.49171,4.49133
533,4.49798,4.49801,4.49881,4.49658
534,4.46138,4.46227,4.46146,4.46262
535,4.464,4.46516,4.46381,4.46155
536,4.49014,4.48997,4.49037,4.49186
537,4.48123,4.48036,4.4812,4.48047
538,4.49974,4.49966,4.50003,4.50148
539,4.49369,4.49381,4.49386,4.49503
540,4.4719,4.47208,4.47095,4.47193
541,4.46313,4.46077,4.46375,4.46376
542,4.48604,4.4857,4.4878,4.48581
543,4.48966,4.49036,4.48896,4.49025
544,4.46351,4.4618,4.46276,4.46314
545,4.4651,4.46584,4.46673,4.46568
546,4.47384,4.47353,4.47482,4.47301
547,4.47562,4.47441,4.47472,4.4765
548,4.45906,4.45834,4.45859,4.45929
549,4.46779,4.46848,4.46809,4.46938
550,4.50076,4.50209,4.50128,4.5028
551,4.47602,4.47719,4.47716,4.47731
552,4.48253,4.48368,4.48227,4.48227
553,4.4971,4.49812,4.49645,4.4976
554,4.48019,4.48027,4.48028,4.47833
555,4.49494,4.49421,4.49331,4.49703
556,4.47627,4.47652,4.47649,4.47599
557,4.48172,4.48113,4.47991,4.48055
558,4.4747,4.4756,4.47498,4.47088
559,4.49599,4.49736,4.49625,4.49658
560,4.48465,4.48348,4.48423,4.48405
561,4.47954,4.47942,4.48038,4.47645
562,4.47302,4.47327,4.4732,4.47514
563,4.49036,4.4909,4.49258,4.49006
564,4.48217,4.48023,4.48124,4.48179
565,4.47853,4.47871,4.47803,4.48066
566,4.46401,4.46512,4.46544,4.46356
567,4.46389,4.46518,4.46524,4.46413
568,4.48183,4.483,4.48091,4.48123
569,4.47017,4.46678,4.46777,4.47143
570,4.49438,4.49439,4.49395,4.49364
571,4.49152,4.48964,4.4907,4.49197
572,4.46747,4.46652,4.469,4.46796
573,4.47677,4.47245,4.47366,4.47728
574,4.46858,4.46786,4.466,4.46983
575,4.48113,4.48131,4.48028,4.48036
576,4.48316,4.48221,4.482,4.48408
577,4.47381,4.47175,4.47315,4.47142
578,4.46694,4.46731,4.46601,4.46751
579,4.46794,4.46982,4.46788,4.46776
580,4.47059,4.47075,4.47274,4.47197
581,4.47527,4.47853,4.47582,4.47532
582,4.46675,4.46643,4.46761,4.46758
583,4.46799,4.4663,4.46734,4.46711
584,4.47347,4.47354,4.4713,4.4719
585,4.47899,4.47708,4.47901,4.48
586,4.49604,4.49551,4.49759,4.49643
587,4.47513,4.47534,4.476,4.47556
588,4.47933,4.47781,4.4801,4.47922
589,4.47892,4.47946,4.47981,4.4775
590,4.46981,4.4695,4.47013,4.4696
591,4.47239,4.47083,4.47402,4.47168
592,4.47376,4.47556,4.475,4.47294
593,4.48081,4.47912,4.48032,4.48029
594,4.48153,4.48199,4.48111,4.48161
595,4.47067,4.46951,4.46902,4.46981
596,4.46803,4.46882,4.46824,4.46739
597,4.48686,4.48628,4.48752,4.48904
598,4.44549,4.44476,4.44414,4.44613
599,4.4846,4.48118,4.48278,4.48367
600,4.48538,4.48527,4.48582,4.48565
601,4.49917,4.50028,4.49968,4.49929
602,4.48716,4.48731,4.48707,4.48738
603,4.48256,4.48283,4.48122,4.48235
604,4.46728,4.46816,4.46998,4.46805
605,4.49066,4.48955,4.48885,4.48997
606,4.47749,4.47773,4.47645,4.50507
607,4.45129,4.45153,4.45147,4.45219
608,4.49011,4.48865,4.48869,4.49049
609,4.44677,4.44561,4.44603,4.44624
610,4.47394,4.4734,4.47406,4.47458
611,4.47645,4.47492,4.47673,4.47719
612,4.47191,4.47096,4.47072,4.47193
613,4.4694,4.46949,4.46839,4.4684
614,4.46412,4.46427,4.46361,4.46417
615,4.47323,4.47191,4.47372,4.47369
616,4.48232,4.48092,4.48106,4.48237
617,4.46972,4.46717,4.46844,4.46984
618,4.47874,4.48183,4.48079,4.48001
619,4.48996,4.48795,4.48948,4.48992
620,4.4782,4.47875,4.47777,4.48067
621,4.49077,4.49034,4.4902,4.49189
622,4.48849,4.48715,4.48787,4.48804
623,4.46932,4.46845,4.47082,4.47211
624,4.47449,4.47433,4.47548,4.47459
625,4.47971,4.48123,4.48034,4.47831
626,4.47159,4.47352,4.47102,4.47263
627,4.48475,4.48478,4.48484,4.4835
628,4.48333,4.48255,4.48153,4.48254
629,4.48446,4.48542,4.48478,4.48473
630,4.46865,4.47078,4.4697,4.4693
631,4.46842,4.46942,4.46847,4.46825
632,4.47972,4.47987,4.47963,4.47887
633,4.47572,4.47558,4.47731,4.47593
